3.374104	3.484104	1
5.523583	5.633583	2
7.618042	7.728042	3
9.784229	9.894229	4
11.989313	12.099312	5
14.281542	14.391542	6
16.436979	16.546979	7
18.716479	18.826479	8
21.102937	21.212937	9
23.551792	23.661792	10
25.899562	26.009563	11
28.322958	28.432958	12
30.661271	30.771271	13
33.029938	33.139938	14
35.404604	35.514604	15
37.824292	37.934292	16
40.384750	40.494750	17
42.605417	42.715417	18
44.953583	45.063583	19
47.216437	47.326437	20
49.680292	49.790292	21
51.966104	52.076104	22
54.316771	54.426771	23
56.656125	56.766125	24
58.953958	59.063958	25
61.364271	61.474271	26
63.722875	63.832875	27
66.193979	66.303979	28
68.514437	68.624437	29
71.079292	71.189292	30
