1.445521	1.555521	1
3.265188	3.375188	2
5.039896	5.149896	3
6.958604	7.068604	4
8.700729	8.810729	5
10.590854	10.700854	6
12.434313	12.544313	7
14.389938	14.499937	8
16.194583	16.304583	9
17.910958	18.020958	10
19.770958	19.880958	11
21.519250	21.629250	12
23.249083	23.359083	13
24.992250	25.102250	14
26.847896	26.957896	15
28.595500	28.705500	16
30.358583	30.468583	17
32.206187	32.316187	18
33.984417	34.094417	19
35.675625	35.785625	20
37.410958	37.520958	21
39.097521	39.207521	22
40.798271	40.908271	23
42.502229	42.612229	24
44.167271	44.277271	25
45.890042	46.000042	26
47.650792	47.760792	27
49.407063	49.517063	28
51.063854	51.173854	29
52.813792	52.923792	30
