0.650521	0.760521	1
2.474146	2.584146	2
4.157583	4.267583	3
5.855313	5.965312	4
7.502667	7.612667	5
9.145708	9.255708	6
10.939292	11.049292	7
12.594125	12.704125	8
14.217542	14.327542	9
15.798917	15.908917	10
17.547771	17.657771	11
19.201042	19.311042	12
20.882313	20.992313	13
22.541646	22.651646	14
24.256958	24.366958	15
26.078063	26.188063	16
27.657563	27.767563	17
29.313708	29.423708	18
30.926021	31.036021	19
32.570500	32.680500	20
34.215604	34.325604	21
35.940438	36.050438	22
37.631333	37.741333	23
39.273021	39.383021	24
40.985937	41.095937	25
42.579458	42.689458	26
44.216417	44.326417	27
45.995354	46.105354	28
47.595083	47.705083	29
49.277646	49.387646	30
